step,start,mid_sentence,sentence_period,sentence_newline,after_tool_call
25,0.0,0.0,0.0002,0.0,1.0
50,0.0,0.0,0.0,0.0,1.0
75,0.0,0.0,0.0,0.0,1.0
100,0.0,0.0,0.0,0.0,1.0
125,0.0,0.0,0.0,0.0,0.9999
150,0.0,0.0,0.0,0.0,1.0
175,0.0,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,0.0,1.0
225,0.0,0.0,0.0,0.0,1.0
250,0.0,0.0,0.0,0.0,1.0
275,0.0,0.0,0.0,0.0,1.0
300,0.0,0.0,0.0,0.0,1.0
325,0.0,0.0,0.0,0.0,1.0
350,0.0,0.0,0.0,0.0,1.0
375,0.0,0.0,0.0,0.0,1.0
400,0.0,0.0,0.0,0.0,1.0
425,0.0,0.0,0.0,0.0,1.0
450,0.0,0.0,0.0,0.0,1.0
475,0.0,0.0,0.0,0.0,1.0
500,0.0,0.0,0.0,0.0,1.0
525,0.0,0.0,0.0,0.0,1.0
550,0.0,0.0,0.0,0.0,1.0
575,0.0,0.0,0.0,0.0,1.0
600,0.0,0.0,0.0,0.0,1.0
625,0.0,0.0,0.0,0.0,1.0
650,0.0,0.0,0.0,0.0,1.0
675,0.0,0.0,0.0,0.0,1.0
700,0.0,0.0,0.0,0.0,1.0
725,0.0,0.0,0.0,0.0,1.0
750,0.0,0.0,0.0,0.0,1.0
775,0.0,0.0,0.0,0.0,0.99
800,0.0,0.0,0.0,0.0,0.9998
825,0.0,0.0,0.0,0.0,1.0
850,0.0,0.0,0.0,0.0,0.9999
875,0.0,0.0,0.0,0.0,1.0
900,0.0,0.0,0.0,0.0,1.0
